Date,SPY_chg,QQQ_chg,Gold_chg,Oil_chg,DXY_chg,BTC_chg,VIX_chg,SP500_fut_chg,US2Y_chg,US10Y_chg,is_weekend,hour_utc,dow_utc,Ann_CPI,Ann_Employment,Ann_FOMC,Ann_GDP,FED_DELTA,GDP_DELTA,UNEMPLOYMENT_DELTA,INF_YEARLY_DELTA,INF_MONTHLY_DELTA,fed_market_start,fed_market_end,gdp_market_start,gdp_market_end,labor_market_start,labor_market_end,inf_yearly_market_start,inf_yearly_market_end,inf_monthly_market_start,inf_monthly_market_end,FED_DELTA_is_missing,GDP_DELTA_is_missing,UNEMPLOYMENT_DELTA_is_missing,INF_YEARLY_DELTA_is_missing,INF_MONTHLY_DELTA_is_missing
2025-03-07 18:00:00+00:00,,,,,,,,,,,0,18,4,0,0,0,0,0.0561552272756085,0.0,0.0,-0.0074999999999931,0.0002952755905596,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-07 19:00:00+00:00,,,,,,,,,,,0,19,4,0,0,0,0,0.4372857472629032,0.0,0.0,0.0150000000000005,0.0002462084480754,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-07 20:00:00+00:00,,,,,,,,,,,0,20,4,0,0,0,0,-0.1250168412771746,0.0081681205392385,0.0,-0.0075000000000073,4.858395543294591e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-07 21:00:00+00:00,,,,,,,,,,,0,21,4,0,0,0,0,-0.0048587534116055,0.0146671980869257,0.0,0.0,-0.0007387735183215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-07 22:00:00+00:00,,,,,,,,,,,0,22,4,0,0,0,0,0.0537629428218604,0.0051813471502413,0.0,0.0,9.905655797126656e-05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-07 23:00:00+00:00,,,,,,,,,,,0,23,4,0,0,0,0,-0.0869056596686057,0.0006642752756818,0.0,-0.0074999999999931,0.0005428027621121,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-08 00:00:00+00:00,,,,,,,,,,,1,0,5,0,0,0,0,-0.0124812780828733,0.0003270538984736,0.0,0.0139999999999957,0.0004993493867573,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-08 01:00:00+00:00,,,,,,,,,,,1,1,5,0,0,0,0,0.2263587213305111,0.0,0.0,-0.0139999999999957,-0.0001022780654977,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-08 02:00:00+00:00,,,,,,,,,,,1,2,5,0,0,0,0,-0.0092388322018912,0.2192159247118468,0.0,0.0150000000000005,0.000197575819044,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-08 03:00:00+00:00,,,,,,,,,,,1,3,5,0,0,0,0,-0.0485980035448587,-0.001794581174451,0.0,0.0224999999999937,-0.000245669655456,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-08 04:00:00+00:00,,,,,,,,,,,1,4,5,0,0,0,0,0.0078478814681144,-0.0111587867011877,0.0,0.01400000000001,0.000760637516791,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-08 05:00:00+00:00,,,,,,,,,,,1,5,5,0,0,0,0,-0.1380884168590359,0.0111587867011877,0.0,0.0009999999999905,0.00621238377758,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-03-08 06:00:00+00:00,,,,,,,,,,,1,6,5,0,0,0,0,0.0573052321927125,-0.02220253436424,0.0,-0.0150000000000005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-08 07:00:00+00:00,,,,,,,,,,,1,7,5,0,0,0,0,0.0650799129163637,-0.0109304784562738,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-08 08:00:00+00:00,,,,,,,,,,,1,8,5,0,0,0,0,-0.1334487063979157,0.0331330128205138,0.0,0.0234999999999985,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-08 09:00:00+00:00,,,,,,,,,,,1,9,5,0,0,0,0,-0.1067729680682454,0.0190345790378216,0.0,-0.024499999999989,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-08 10:00:00+00:00,,,,,,,,,,,1,10,5,0,0,0,0,0.1126093014503091,0.0,0.0,0.0009999999999905,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2025-03-08 11:00:00+00:00,,,,,,,,,,,1,11,5,0,0,0,0,-0.0765000202026691,0.0017987542955495,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2025-03-08 12:00:00+00:00,,,,,,,,,,,1,12,5,0,0,0,0,0.0209362231213479,0.029224537037038,0.0020228592162396,0.0,0.0007821040419599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-08 13:00:00+00:00,,,,,,,,,,,1,13,5,0,0,0,0,-0.0361882118605176,-0.0021330230754443,0.0001556112969183,0.0065000000000026,-9.846261887958008e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-08 14:00:00+00:00,,,,,,,,,,,1,14,5,0,0,0,0,0.0033937488779791,0.0,0.003461727246929,0.0075000000000073,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-03-08 15:00:00+00:00,,,,,,,,,,,1,15,5,0,0,0,0,-0.0352722872387065,-0.0192790139615937,0.000534759358274,0.0084999999999979,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-03-08 16:00:00+00:00,,,,,,,,,,,1,16,5,0,0,0,0,-0.0407841216282864,0.0240575396825164,0.0004239284031939,-0.0010000000000047,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-03-08 17:00:00+00:00,,,,,,,,,,,1,17,5,0,0,0,0,0.0070621914081687,-0.0142439431913032,-0.0011440004103917,-0.0224999999999937,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-03-08 18:00:00+00:00,,,,,,,,,,,1,18,5,0,0,0,0,0.0180580913242351,0.0406989696463426,0.0055047610024132,0.0084999999999979,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-03-08 19:00:00+00:00,,,,,,,,,,,1,19,5,0,0,0,0,0.0127300828093463,-0.0406989696463426,-0.0026867868973141,-0.0160000000000053,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-03-08 20:00:00+00:00,,,,,,,,,,,1,20,5,0,0,0,0,-0.0001204115317374,0.0032072368421012,0.0005628517823623,-0.0289999999999963,0.0001156825026811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
