Date,SPY_chg,QQQ_chg,Gold_chg,Oil_chg,DXY_chg,BTC_chg,VIX_chg,SP500_fut_chg,US2Y_chg,US10Y_chg,is_weekend,hour_utc,dow_utc,Ann_CPI,Ann_Employment,Ann_FOMC,Ann_GDP,FED_DELTA,GDP_DELTA,UNEMPLOYMENT_DELTA,INF_MONTHLY_DELTA,fed_market_start,fed_market_end,gdp_market_start,gdp_market_end,labor_market_start,labor_market_end,inf_monthly_market_start,inf_monthly_market_end,FED_DELTA_is_missing,GDP_DELTA_is_missing,UNEMPLOYMENT_DELTA_is_missing,INF_MONTHLY_DELTA_is_missing
2025-03-06 17:00:00+00:00,-0.0102681162019755,-0.0125466213445412,-0.0008887399403401,0.0099040309779239,0.0013847881092234,-0.0077479486019937,0.0263047657911339,-0.0025588758294661,7.54916393008731e-05,-0.0089862925802383,0,17,3,0,0,0,0,0.3649689016983402,0.0752649385541559,0.0025363285710398,-0.0001536521041316,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 18:00:00+00:00,-3.4858958203209944e-05,-0.0010103487871018,0.0004447652508126,0.0010561209431718,0.0007203044225856,-0.0033047125163486,0.0138323903028161,-0.0016523175928341,7.548594074346937e-05,-0.0016275215219765,0,18,3,0,0,0,0,-0.2029887659405709,-0.0726011007418065,-0.0012359329511468,0.0002550636761213,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 19:00:00+00:00,-0.0033032945955431,-0.0053123146158269,-0.0007865296958999,0.0018086322432824,-0.0013627683886056,0.0028380762309767,0.028491134923714,-0.0019163763066202,0.0003774012152319,-0.0027945058227663,0,19,3,0,0,0,0,0.0293421946450376,-0.0927990708478603,-0.0002780450714396,0.0012426556991869,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 20:00:00+00:00,0.0041202881998376,0.003800107130913,-0.001574297623631,-0.0039115711065984,0.0012012070136295,0.0056548891653356,-0.0159968732281396,0.0032728224821085,-0.0001886294186441,0.0009341865622569,0,20,3,0,0,0,0,-0.1022628140880161,0.0556890544275034,-0.0031270012407276,-9.88142292470684e-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 21:00:00+00:00,-0.0002966594758255,-0.0007366484344721,0.0008227005431948,0.0009061706603741,0.0001824106886951,0.004307908125418,-0.0103092877066083,0.0023487451611499,0.0001509320051316,,0,21,3,0,0,0,0,-0.0122680827412935,-0.154206510190292,0.0002738839077949,0.0007314686812378,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 22:00:00+00:00,,,,,-0.0003838638373542,0.0093459289465431,,,,,0,22,3,0,0,0,0,0.1381786491486476,-0.0709118598895628,-0.0005458525929782,0.0002377119618444,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-06 23:00:00+00:00,,,-0.0009247041327226,0.0009054653844555,-0.0002879901233743,-0.0047828388360704,,0.000607507051421,-3.7727307024781886e-05,,0,23,3,0,0,0,0,-0.1055570379771566,0.0290095220313588,-0.0012388885628098,-4.406159918346475e-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 00:00:00+00:00,,,-0.0014055388978747,-0.001507590401939,0.0004033169725599,-0.0487451617972146,,-0.0001734680601934,0.0003772873042822,,0,0,4,0,0,0,0,-0.0416666666666678,0.1647484459984411,-0.0011765121745668,0.0001932695360125,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 01:00:00+00:00,,,0.0006865774116031,0.0024157636207955,-0.0001343847911862,0.0294815695902326,,0.0008674907829104,-3.7714501225694086e-05,,0,1,4,0,0,0,0,-0.1693525583414601,0.0104182528805552,-0.0011836541315801,6.555227793114682e-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 02:00:00+00:00,,,0.0,0.0025605990436539,-0.0008640601937276,-0.0082396004459476,,-8.667388949079591e-05,7.543184732594632e-05,,0,2,4,0,0,0,0,-0.2797134068436868,-0.0150753768843969,-0.0004626549496578,0.0001538630618824,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 03:00:00+00:00,,,-0.0008576329331045,-0.0028544894678589,-0.0003074512503933,-0.0035221118253735,,-0.0012135396350713,7.542615779154715e-05,,0,3,4,0,0,0,0,0.0412290848314071,-0.0160191822054827,0.0002380868616427,-0.0054728384249074,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 04:00:00+00:00,,,0.000240326582618,-0.0007533983680659,-0.0002979395824285,0.0078265470379506,,0.000433933608158,-7.542046911535039e-05,,0,4,4,0,0,0,0,0.0331042495726521,0.0050761421319975,0.0007886435330988,0.0016640283633648,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 05:00:00+00:00,,,0.0013387843435896,0.0007539664051252,-0.0002692011181748,0.0053381026950467,,-0.001171112556929,0.000150852315583,,0,5,4,0,0,0,0,-0.0584370575758317,0.0004486489258113,0.0009403862300558,0.0002922077382407,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 06:00:00+00:00,,,0.0011998217006032,0.0007532834156143,-0.0007213157574218,-9.85929728634094e-05,,-0.0008685079034219,-3.7707390648566985e-05,,0,6,4,0,0,0,0,-0.0651952518663527,-0.0004486489258113,-0.0005031174779617,9.805994795897276e-05,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 07:00:00+00:00,,,0.0014380439058552,0.0069256112188169,-0.0003560354843069,0.0014109133072353,,0.0017819888734353,-0.0004147969380444,,0,7,4,0,0,0,0,0.0539002113400268,0.0008927888171825,-0.0002695116643565,0.0003418443262006,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 08:00:00+00:00,,,0.0019146107159935,0.0041866988664849,-0.0018292154440313,0.0010099392674047,-0.0012018742146323,-0.0003470866415028,0.000188622302701,,0,8,4,0,0,0,0,-0.0666945390424178,-0.0338219595386135,-0.0010342198808075,-0.0007808687164327,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 09:00:00+00:00,,,-0.0004435588079498,0.0017867050423523,-0.0006173068438128,0.0064075631551774,-0.0068190964385448,0.0013020268217525,-0.0002263040772451,,0,9,4,0,0,0,0,-0.0054941686430964,0.0306158246977616,-0.0028041721275542,0.0013665202537964,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 10:00:00+00:00,,,-0.0010583788716304,0.0038644789082618,0.0004439932680901,0.0027630131385385,0.0020193552745699,-0.0007368557929868,0.0001509035349152,,0,10,4,0,0,0,0,0.0734342665999889,0.0,-0.0002732594687984,0.0004357203696798,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 11:00:00+00:00,,,6.833601226086117e-05,-0.0032573470198539,0.0008488798781982,-0.003001130043247,-0.0064490064835247,0.0003036349440443,-0.0001131605748557,,0,11,4,0,0,0,0,-0.1551750153008857,0.0,-0.0012949091141223,-0.0010221333587168,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 12:00:00+00:00,,,-0.0001025387304803,0.0020796106696834,-0.0001060383704476,0.0018883135194218,0.0150101762660983,-0.0023849789688218,0.0002640712237815,,0,12,4,0,0,0,0,0.0514689755964212,0.0,0.0007553727043188,-0.0015690618998718,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 13:00:00+00:00,,,-0.0018455526586621,-0.0056329270467694,0.0003085146589325,0.0023067157858929,-0.0091926274191956,-0.0029557506737373,0.0008297190269659,,0,13,4,0,1,0,0,0.0556561539908404,0.0,-0.0081764364502419,-0.0016620257570565,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 14:00:00+00:00,,,0.0049306291195856,0.0117769960340343,-0.0005878718421739,0.0128158399366162,-0.0274304267875141,0.0037928328537797,-0.0006782982251196,-0.0132991499927572,0,14,4,0,0,0,0,0.7362216884226811,0.0,0.0459932005827994,0.0020630075502623,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 15:00:00+00:00,-0.0008030829349084,-0.0011980299063761,-0.0038161271404626,-0.0038308844218156,-0.0009352925286649,-0.0222892319076224,0.0302778732375024,-0.0052551574375678,3.7708812549386295e-05,0.0035469061624182,0,15,4,0,0,0,0,0.0433630404477707,0.0,0.0,-0.0003909950256542,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07 16:00:00+00:00,-0.0082639957191359,-0.0094005793982017,-0.0005814383145553,-0.0079869976431365,0.0004825897323106,-0.0160284427170744,0.0462962806548317,-0.0066800558854348,0.0004524886877828,0.0009425511215166,0,16,4,0,0,0,0,0.0248290812072689,-0.001637671821328,0.0,0.0004344796785744,0,0,0,0,0,1,0,0,0,0,0,0
2025-03-07 17:00:00+00:00,0.0007927914366052,0.0002069876948751,-0.0019507019753165,-0.0013418270210245,0.0014855622630534,0.0051496731194156,-0.0257791489878539,0.0054063557645818,-0.0007538067239559,-0.0037665419721076,0,17,4,0,0,0,0,-0.0259256737833499,0.0,0.0,-4.921259841239589e-05,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-07 18:00:00+00:00,0.008003934064241,0.0090222149023537,-0.0003429002445759,0.0002985464625888,0.0005586570419704,0.0119631251737644,-0.0450236731196118,0.0089621404214392,-0.0011315630657815,0.016304293326071,0,18,4,0,0,0,0,0.0561552272756085,0.0,0.0,0.0002952755905596,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-07 19:00:00+00:00,0.0068947514895407,0.0099054925759187,-0.0006860357309718,-0.00014928561538,-0.0003658401783002,-0.0078080590020683,-0.0057898837006412,-0.0001299883010529,0.000151045993505,0.0053477607720748,0,19,4,0,0,0,0,0.4372857472629032,0.0,0.0,0.0002462084480754,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-07 20:00:00+00:00,-0.0010326461199552,-0.0012691901488534,0.0016819078919525,0.0002986158098052,-0.0002792747291857,-0.0086307309347616,-0.0299501328320698,0.001040041601664,0.0001510231820585,-0.0016189745002418,0,20,4,0,0,0,0,-0.1250168412771746,0.0081681205392385,0.0,4.858395543294591e-05,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-07 21:00:00+00:00,-0.0002076964241245,-1.0176352465141036e-05,-0.0001713384992002,0.0005969394754834,0.0009247817928743,-0.0081040038652874,0.0021441314349706,-0.0005627705627705,-0.0001887504718761,,0,21,4,0,0,0,0,-0.0048587534116055,0.0146671980869257,0.0,-0.0007387735183215,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-07 22:00:00+00:00,,,,,,0.0044911670548608,,,,,0,22,4,0,0,0,0,0.0537629428218604,0.0051813471502413,0.0,9.905655797126656e-05,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-07 23:00:00+00:00,,,,,,-0.0002332349334059,,,,,0,23,4,0,0,0,0,-0.0869056596686057,0.0006642752756818,0.0,0.0005428027621121,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-08 00:00:00+00:00,,,,,,0.000192756446915,,,,,1,0,5,0,0,0,0,-0.0124812780828733,0.0003270538984736,0.0,0.0004993493867573,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-08 01:00:00+00:00,,,,,,-0.0084520920985717,,,,,1,1,5,0,0,0,0,0.2263587213305111,0.0,0.0,-0.0001022780654977,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-08 02:00:00+00:00,,,,,,0.0018719609924418,,,,,1,2,5,0,0,0,0,-0.0092388322018912,0.2192159247118468,0.0,0.000197575819044,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-08 03:00:00+00:00,,,,,,-0.0023868211284753,,,,,1,3,5,0,0,0,0,-0.0485980035448587,-0.001794581174451,0.0,-0.000245669655456,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-08 04:00:00+00:00,,,,,,0.005331468184254,,,,,1,4,5,0,0,0,0,0.0078478814681144,-0.0111587867011877,0.0,0.000760637516791,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-08 05:00:00+00:00,,,,,,-0.0019922569439296,,,,,1,5,5,0,0,0,0,-0.1380884168590359,0.0111587867011877,0.0,0.00621238377758,0,0,0,0,0,0,0,0,0,0,1,0
2025-03-08 06:00:00+00:00,,,,,,0.0020790141297788,,,,,1,6,5,0,0,0,0,0.0573052321927125,-0.02220253436424,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1
2025-03-08 07:00:00+00:00,,,,,,-0.0032506507899409,,,,,1,7,5,0,0,0,0,0.0650799129163637,-0.0109304784562738,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1
